Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Francisco Alvarez,22,100,342,308,39,73,14,2,11,47,1,1,30,86,0.237,0.307,0.403,0.71,101,124,7,2,0,2,0
2,1B,Pete Alonso,29,162,695,608,91,146,31,0,34,88,3,0,70,172,0.24,0.329,0.459,0.788,123,279,14,13,0,4,4
3,2B,Jeff McNeil*,32,129,472,424,57,101,26,0,12,44,5,1,35,68,0.238,0.308,0.384,0.692,97,163,6,9,1,3,1
4,SS,Francisco Lindor#,30,152,689,618,107,169,39,1,33,91,29,4,56,127,0.273,0.344,0.5,0.844,138,309,7,12,0,3,0
5,3B,Mark Vientos,24,111,454,413,58,110,22,0,27,71,0,0,33,135,0.266,0.322,0.516,0.837,135,213,6,3,0,5,0
6,LF,Brandon Nimmo*,31,151,663,571,88,128,25,3,23,90,15,0,77,158,0.224,0.327,0.399,0.727,107,228,7,12,0,3,1
7,CF,Harrison Bader,30,143,437,402,57,95,19,0,12,51,17,8,21,95,0.236,0.284,0.373,0.657,86,150,6,8,0,6,1
8,RF,Starling Marte,35,94,370,335,46,90,13,3,7,40,16,1,27,81,0.269,0.327,0.388,0.715,104,130,8,3,3,2,1
9,DH,J.D. Martinez,36,120,495,434,46,102,24,1,16,69,0,0,49,141,0.235,0.32,0.406,0.725,106,176,17,6,0,2,0
10,OF,Tyrone Taylor,30,130,345,319,47,79,22,3,7,35,11,2,19,80,0.248,0.299,0.401,0.701,99,128,4,5,1,1,1
11,2B,Jose Iglesias,34,85,291,270,39,91,16,1,4,26,6,2,12,39,0.337,0.381,0.448,0.83,137,121,4,8,0,1,1
12,DH,DJ Stewart*,30,74,194,158,16,28,4,0,5,19,1,0,31,48,0.177,0.325,0.297,0.622,81,47,5,4,0,1,0
13,3B,Brett Baty*,24,50,171,153,15,35,3,0,4,16,0,0,16,42,0.229,0.306,0.327,0.633,82,50,3,1,1,0,1
14,C,Luis Torrens,28,47,130,118,14,27,8,0,3,15,0,1,9,28,0.229,0.292,0.373,0.665,89,44,5,2,0,1,0
15,OF,Jesse Winker*,30,44,129,115,12,28,5,0,3,13,0,0,10,22,0.243,0.318,0.365,0.683,95,42,3,3,0,1,0
16,C,TomÃ¡s Nido,30,32,90,83,9,19,2,0,3,8,0,0,4,20,0.229,0.261,0.361,0.623,76,30,0,0,2,1,0
17,C,Omar NarvÃ¡ez*,32,28,69,65,4,10,2,0,0,5,0,0,3,12,0.154,0.191,0.185,0.376,9,12,2,0,1,0,0
18,MI,Luisangel AcuÃ±a,22,14,40,39,6,12,2,1,3,6,0,1,1,6,0.308,0.325,0.641,0.966,168,25,1,0,0,0,0
19,IF,Joey Wendle*,34,18,37,36,3,8,1,0,0,1,1,0,1,9,0.222,0.243,0.25,0.493,42,9,0,0,0,0,0
20,OF,Ben Gamel*,32,18,30,23,9,5,1,0,0,0,1,0,7,7,0.217,0.4,0.261,0.661,96,6,0,0,0,0,0
21,3B,Zack Short,29,10,12,9,2,1,0,0,0,0,0,1,2,4,0.111,0.273,0.111,0.384,16,1,0,0,1,0,0
22,MI,Eddy Alvarez*,34,12,11,9,2,0,0,0,0,0,0,0,1,2,0,0.182,0,0.182,-41,0,0,1,0,0,0
23,C,Joe Hudson,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
24,DH,Pablo Reyes,30,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
25,P,Paul Blackburn,30,0,0,,,,,,,,,,,,,,,,,,,,,,
26,P,Jose Quintana,35,0,0,,,,,,,,,,,,,,,,,,,,,,
27,P,Christian Scott,25,0,0,,,,,,,,,,,,,,,,,,,,,,
28,P,Adrian Houser,31,0,0,,,,,,,,,,,,,,,,,,,,,,
29,P,Brooks Raley*,36,0,0,,,,,,,,,,,,,,,,,,,,,,
30,P,Grant Hartwig,26,0,0,,,,,,,,,,,,,,,,,,,,,,
31,P,Ty Adcock,27,0,0,,,,,,,,,,,,,,,,,,,,,,
32,P,Sean Reid-Foley,28,0,0,,,,,,,,,,,,,,,,,,,,,,
33,P,Michael Tonkin,34,0,0,,,,,,,,,,,,,,,,,,,,,,
34,P,Tyler Jay*,30,0,0,,,,,,,,,,,,,,,,,,,,,,
35,P,Tylor Megill,28,0,0,,,,,,,,,,,,,,,,,,,,,,
36,P,Danny Young*,30,0,0,,,,,,,,,,,,,,,,,,,,,,
37,P,Kodai Senga*,31,0,0,,,,,,,,,,,,,,,,,,,,,,
38,P,Huascar BrazobÃ¡n,34,0,0,,,,,,,,,,,,,,,,,,,,,,
39,P,Eric Orze,26,0,0,,,,,,,,,,,,,,,,,,,,,,
40,P,Sean Manaea,32,0,0,,,,,,,,,,,,,,,,,,,,,,
