Year,Team,Player,Pos...4,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos...32,Awards,Player-additional
2015,Toronto Blue Jays,Josh Donaldson,3B,7.1,158,711,620,122,184,41,2,41,123,6,0,73,133,0.297,0.371,0.568,0.939,151,0.403,154,352,16,6,2,10,0,*5/DH,ASMVP-1SS,donaljo02
2015,Washington Nationals,Bryce Harper,RF,9.7,153,654,521,118,172,38,1,42,99,6,4,124,131,0.33,0.46,0.649,1.109,198,0.466,203,338,15,5,0,4,15,*98/D,ASMVP-1SS,harpebr03
2016,Los Angeles Angels,Mike Trout,CF,10.5,159,681,549,123,173,32,5,29,100,30,7,116,137,0.315,0.441,0.55,0.991,173,0.435,182,302,5,11,0,5,12,*8D/H,ASMVP-1SS,troutmi01
2016,Chicago Cubs,Kris Bryant,3B,7.3,155,699,603,121,176,35,3,39,102,8,5,75,154,0.292,0.385,0.554,0.939,146,0.406,152,334,3,18,0,3,5,579/368D,ASMVP-1,bryankr01
2017,Houston Astros,Jose Altuve,2B,7.7,153,662,590,112,204,39,4,24,81,32,6,58,84,0.346,0.41,0.547,0.957,160,0.415,163,323,19,9,1,4,3,*4/DH,ASMVP-1SS,altuvjo01
2017,Miami Marlins,Giancarlo Stanton,RF,7.9,159,692,597,123,168,32,0,59,132,2,2,85,163,0.281,0.376,0.631,1.007,169,0.417,171,377,13,7,0,3,13,*9/HD,ASMVP-1SS,stantmi03
2018,Boston Red Sox,Mookie Betts,RF,10.7,136,614,520,129,180,47,5,32,80,30,6,81,91,0.346,0.438,0.64,1.078,186,0.462,192,333,5,8,0,5,8,*98/HD4,ASMVP-1GGSS,bettsmo01
2018,Milwaukee Brewers,Christian Yelich,RF,7.3,147,651,574,118,187,34,7,36,110,22,4,68,135,0.326,0.402,0.598,1,164,0.437,173,343,14,7,0,2,2,*798/H,ASMVP-1SS,yelicch01
2019,Los Angeles Angels,Mike Trout,CF,7.9,134,600,470,110,137,27,2,45,104,11,2,110,120,0.291,0.438,0.645,1.083,182,0.444,181,303,5,16,0,4,14,*8D/H,ASMVP-1SS,troutmi01
2019,Los Angeles Dodgers,Cody Bellinger,RF,8.6,156,661,558,121,170,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,167,0.421,166,351,10,3,0,4,21,*938/H,ASMVP-1GGSS,bellico01
2021,Los Angeles Angels,Shohei Ohtani,DH,4.9,155,639,537,103,138,26,8,46,100,26,10,96,189,0.257,0.372,0.592,0.965,157,0.399,153,318,7,4,0,2,20,*D1/H97,ASMVP-1SS,ohtansh01
2021,Philadelphia Phillies,Bryce Harper,RF,5.9,141,599,488,101,151,42,1,35,84,13,3,100,134,0.309,0.429,0.615,1.044,179,0.438,178,300,12,5,2,4,14,*9/D3,MVP-1SS,harpebr03
2022,New York Yankees,Aaron Judge,CF,10.5,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,0.463,208,391,14,6,0,5,19,*89D/H,ASMVP-1SS,judgeaa01
2022,St. Louis Cardinals,Paul Goldschmidt,1B,7.7,151,651,561,106,178,41,0,35,115,7,0,79,141,0.317,0.404,0.578,0.981,177,0.427,181,324,7,5,0,4,1,*3D/H,ASMVP-1SS,goldspa01
2023,Los Angeles Angels,Shohei Ohtani,DH,6,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,185,0.435,180,325,9,3,0,3,21,*D1,ASMVP-1SS,ohtansh01
2023,Atlanta Braves,Ronald Acuña Jr.,RF,8.2,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,171,0.444,173,383,15,9,0,3,3,*9/D,ASMVP-1SS,acunaro01
2024,New York Yankees,Aaron Judge,CF,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,0.322,0.458,0.701,1.159,223,0.484,223,392,22,9,0,2,20,*8D/97,ASMVP-1SS,judgeaa01
2024,Los Angeles Dodgers,Shohei Ohtani,DH,9.2,159,731,636,134,197,38,7,54,130,59,4,81,162,0.31,0.39,0.646,1.036,190,0.449,190,411,7,6,0,5,10,*D,ASMVP-1SS,ohtansh01
