yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
2006,AL,BAL,E,4,162,81,70,92,0,Covered
2006,AL,BOS,E,3,162,81,86,76,0,Covered
2006,AL,CHW,C,3,162,81,90,72,0,Covered
2006,AL,CLE,C,4,162,81,78,84,0,Covered
2006,AL,DET,C,2,162,81,95,67,0,Covered
2006,AL,KCR,C,5,162,81,62,100,0,Covered
2006,AL,ANA,W,2,162,81,89,73,0,Covered
2006,AL,MIN,C,1,162,81,96,66,0,Covered
2006,AL,NYY,E,1,162,81,97,65,0,Covered
2006,AL,OAK,W,1,162,81,93,69,0,Covered
2006,AL,SEA,W,4,162,81,78,84,1,Retractable
2006,AL,TBD,E,5,162,81,61,101,1,Fixed
2006,AL,TEX,W,3,162,81,80,82,0,Covered
2006,AL,TOR,E,2,162,81,87,75,1,Retractable
2007,AL,BAL,E,4,162,81,69,93,0,Covered
2007,AL,BOS,E,1,162,81,96,66,0,Covered
2007,AL,CHW,C,4,162,81,72,90,0,Covered
2007,AL,CLE,C,1,162,80,96,66,0,Covered
2007,AL,DET,C,2,162,81,88,74,0,Covered
2007,AL,KCR,C,5,162,81,69,93,0,Covered
2007,AL,ANA,W,1,162,81,94,68,0,Covered
2007,AL,MIN,C,3,162,81,79,83,0,Covered
2007,AL,NYY,E,2,162,81,94,68,0,Covered
2007,AL,OAK,W,3,162,81,76,86,0,Covered
2007,AL,SEA,W,2,162,82,88,74,1,Retractable
2007,AL,TBD,E,5,162,81,66,96,1,Fixed
2007,AL,TEX,W,4,162,81,75,87,0,Covered
2007,AL,TOR,E,3,162,81,83,79,1,Retractable
2008,AL,BAL,E,5,161,81,68,93,0,Covered
2008,AL,BOS,E,2,162,81,95,67,0,Covered
2008,AL,CHW,C,1,163,82,89,74,0,Covered
2008,AL,CLE,C,3,162,81,81,81,0,Covered
2008,AL,DET,C,5,162,81,74,88,0,Covered
2008,AL,KCR,C,4,162,81,75,87,0,Covered
2008,AL,ANA,W,1,162,81,100,62,0,Covered
2008,AL,MIN,C,2,163,81,88,75,0,Covered
2008,AL,NYY,E,3,162,81,89,73,0,Covered
2008,AL,OAK,W,3,161,81,75,86,0,Covered
2008,AL,SEA,W,4,162,81,61,101,1,Retractable
2008,AL,TBD,E,1,162,81,97,65,1,Fixed
2008,AL,TEX,W,2,162,81,79,83,0,Covered
2008,AL,TOR,E,4,162,81,86,76,1,Retractable
2009,AL,BAL,E,5,162,81,64,98,0,Covered
2009,AL,BOS,E,2,162,81,95,67,0,Covered
2009,AL,CHW,C,3,162,81,79,83,0,Covered
2009,AL,CLE,C,4,162,81,65,97,0,Covered
2009,AL,DET,C,2,163,81,86,77,0,Covered
2009,AL,KCR,C,4,162,81,65,97,0,Covered
2009,AL,ANA,W,1,162,81,97,65,0,Covered
2009,AL,MIN,C,1,163,82,87,76,0,Covered
2009,AL,NYY,E,1,162,81,103,59,0,Covered
2009,AL,OAK,W,4,162,81,75,87,0,Covered
2009,AL,SEA,W,3,162,81,85,77,1,Retractable
2009,AL,TBD,E,3,162,81,84,78,1,Fixed
2009,AL,TEX,W,2,162,81,87,75,0,Covered
2009,AL,TOR,E,4,162,81,75,87,1,Retractable
2010,AL,BAL,E,5,162,81,66,96,0,Covered
2010,AL,BOS,E,3,162,81,89,73,0,Covered
2010,AL,CHW,C,2,162,81,88,74,0,Covered
2010,AL,CLE,C,4,162,81,69,93,0,Covered
2010,AL,DET,C,3,162,81,81,81,0,Covered
2010,AL,KCR,C,5,162,81,67,95,0,Covered
2010,AL,ANA,W,3,162,81,80,82,0,Covered
2010,AL,MIN,C,1,162,81,94,68,0,Covered
2010,AL,NYY,E,2,162,81,95,67,0,Covered
2010,AL,OAK,W,2,162,81,81,81,0,Covered
2010,AL,SEA,W,4,162,81,61,101,1,Retractable
2010,AL,TBD,E,1,162,81,96,66,1,Fixed
2010,AL,TEX,W,1,162,81,90,72,0,Covered
2010,AL,TOR,E,4,162,78,85,77,1,Retractable
2011,AL,BAL,E,5,162,81,69,93,0,Covered
2011,AL,BOS,E,3,162,81,90,72,0,Covered
2011,AL,CHW,C,3,162,81,79,83,0,Covered
2011,AL,CLE,C,2,162,81,80,82,0,Covered
2011,AL,DET,C,1,162,81,95,67,0,Covered
2011,AL,KCR,C,4,162,81,71,91,0,Covered
2011,AL,ANA,W,2,162,81,86,76,0,Covered
2011,AL,MIN,C,5,162,81,63,99,0,Covered
2011,AL,NYY,E,1,162,81,97,65,0,Covered
2011,AL,OAK,W,3,162,81,74,88,0,Covered
2011,AL,SEA,W,4,162,84,67,95,1,Retractable
2011,AL,TBD,E,2,162,81,91,71,1,Fixed
2011,AL,TEX,W,1,162,81,96,66,0,Covered
2011,AL,TOR,E,4,162,81,81,81,1,Retractable
2012,AL,BAL,E,2,162,81,93,69,0,Covered
2012,AL,BOS,E,5,162,81,69,93,0,Covered
2012,AL,CHW,C,2,162,81,85,77,0,Covered
2012,AL,CLE,C,4,162,81,68,94,0,Covered
2012,AL,DET,C,1,162,81,88,74,0,Covered
2012,AL,KCR,C,3,162,81,72,90,0,Covered
2012,AL,ANA,W,3,162,81,89,73,0,Covered
2012,AL,MIN,C,5,162,81,66,96,0,Covered
2012,AL,NYY,E,1,162,81,95,67,0,Covered
2012,AL,OAK,W,1,162,81,94,68,0,Covered
2012,AL,SEA,W,4,162,81,75,87,1,Retractable
2012,AL,TBD,E,3,162,81,90,72,1,Fixed
2012,AL,TEX,W,2,162,81,93,69,0,Covered
2012,AL,TOR,E,4,162,81,73,89,1,Retractable
2013,AL,BAL,E,3,162,81,85,77,0,Covered
2013,AL,BOS,E,1,162,81,97,65,0,Covered
2013,AL,CHW,C,5,162,81,63,99,0,Covered
2013,AL,CLE,C,2,162,81,92,70,0,Covered
2013,AL,DET,C,1,162,81,93,69,0,Covered
2013,AL,HOU,W,5,162,81,51,111,1,Retractable
2013,AL,KCR,C,3,162,81,86,76,0,Covered
2013,AL,ANA,W,3,162,81,78,84,0,Covered
2013,AL,MIN,C,4,162,81,66,96,0,Covered
2013,AL,NYY,E,4,162,81,85,77,0,Covered
2013,AL,OAK,W,1,162,81,96,66,0,Covered
2013,AL,SEA,W,4,162,81,71,91,1,Retractable
2013,AL,TBD,E,2,163,81,92,71,1,Fixed
2013,AL,TEX,W,2,163,82,91,72,0,Covered
2013,AL,TOR,E,5,162,81,74,88,1,Retractable
2014,AL,BAL,E,1,162,81,96,66,0,Covered
2014,AL,BOS,E,5,162,81,71,91,0,Covered
2014,AL,CHW,C,4,162,81,73,89,0,Covered
2014,AL,CLE,C,3,162,81,85,77,0,Covered
2014,AL,DET,C,1,162,81,90,72,0,Covered
2014,AL,HOU,W,4,162,81,70,92,1,Retractable
2014,AL,KCR,C,2,162,81,89,73,0,Covered
2014,AL,ANA,W,1,162,81,98,64,0,Covered
2014,AL,MIN,C,5,162,81,70,92,0,Covered
2014,AL,NYY,E,2,162,81,84,78,0,Covered
2014,AL,OAK,W,2,162,81,88,74,0,Covered
2014,AL,SEA,W,3,162,81,87,75,1,Retractable
2014,AL,TBD,E,4,162,81,77,85,1,Fixed
2014,AL,TEX,W,5,162,81,67,95,0,Covered
2014,AL,TOR,E,3,162,81,83,79,1,Retractable
2015,AL,BAL,E,3,162,78,81,81,0,Covered
2015,AL,BOS,E,5,162,81,78,84,0,Covered
2015,AL,CHW,C,4,162,81,76,86,0,Covered
2015,AL,CLE,C,3,161,80,81,80,0,Covered
2015,AL,DET,C,5,161,81,74,87,0,Covered
2015,AL,HOU,W,2,162,81,86,76,1,Retractable
2015,AL,KCR,C,1,162,81,95,67,0,Covered
2015,AL,ANA,W,3,162,81,85,77,0,Covered
2015,AL,MIN,C,2,162,81,83,79,0,Covered
2015,AL,NYY,E,2,162,81,87,75,0,Covered
2015,AL,OAK,W,5,162,81,68,94,0,Covered
2015,AL,SEA,W,4,162,81,76,86,1,Retractable
2015,AL,TBD,E,4,162,84,80,82,1,Fixed
2015,AL,TEX,W,1,162,81,88,74,0,Covered
2015,AL,TOR,E,1,162,81,93,69,1,Retractable
2016,AL,BAL,E,2,162,81,89,73,0,Covered
2016,AL,BOS,E,1,162,81,93,69,0,Covered
2016,AL,CHW,C,4,162,81,78,84,0,Covered
2016,AL,CLE,C,1,161,80,94,67,0,Covered
2016,AL,DET,C,2,161,81,86,75,0,Covered
2016,AL,HOU,W,3,162,81,84,78,1,Retractable
2016,AL,KCR,C,3,162,81,81,81,0,Covered
2016,AL,ANA,W,4,162,81,74,88,0,Covered
2016,AL,MIN,C,5,162,81,59,103,0,Covered
2016,AL,NYY,E,4,162,81,84,78,0,Covered
2016,AL,OAK,W,5,162,81,69,93,0,Covered
2016,AL,SEA,W,2,162,81,86,76,1,Retractable
2016,AL,TBD,E,5,162,81,68,94,1,Fixed
2016,AL,TEX,W,1,162,81,95,67,0,Covered
2016,AL,TOR,E,2,162,81,89,73,1,Retractable
2017,AL,BAL,E,5,162,81,75,87,0,Covered
2017,AL,BOS,E,1,162,81,93,69,0,Covered
2017,AL,CHW,C,4,162,81,67,95,0,Covered
2017,AL,CLE,C,1,162,81,102,60,0,Covered
2017,AL,DET,C,5,162,81,64,98,0,Covered
2017,AL,HOU,W,1,162,81,101,61,1,Retractable
2017,AL,KCR,C,3,162,81,80,82,0,Covered
2017,AL,ANA,W,2,162,81,80,82,0,Covered
2017,AL,MIN,C,2,162,81,85,77,0,Covered
2017,AL,NYY,E,2,162,81,91,71,0,Covered
2017,AL,OAK,W,5,162,81,75,87,0,Covered
2017,AL,SEA,W,3,162,81,78,84,1,Retractable
2017,AL,TBD,E,3,162,81,80,82,1,Fixed
2017,AL,TEX,W,4,162,81,78,84,0,Covered
2017,AL,TOR,E,4,162,81,76,86,1,Retractable
2018,AL,BAL,E,5,162,81,47,115,0,Covered
2018,AL,BOS,E,1,162,81,108,54,0,Covered
2018,AL,CHW,C,4,162,81,62,100,0,Covered
2018,AL,CLE,C,1,162,81,91,71,0,Covered
2018,AL,DET,C,3,162,81,64,98,0,Covered
2018,AL,HOU,W,1,162,81,103,59,1,Retractable
2018,AL,KCR,C,5,162,81,58,104,0,Covered
2018,AL,ANA,W,4,162,81,80,82,0,Covered
2018,AL,MIN,C,2,162,81,78,84,0,Covered
2018,AL,NYY,E,2,162,81,100,62,0,Covered
2018,AL,OAK,W,2,162,81,97,65,0,Covered
2018,AL,SEA,W,3,162,81,89,73,1,Retractable
2018,AL,TBD,E,3,162,81,90,72,1,Fixed
2018,AL,TEX,W,5,162,81,67,95,0,Covered
2018,AL,TOR,E,4,162,81,73,89,1,Retractable
2006,NL,ARI,W,4,162,81,76,86,1,Retractable
2006,NL,ATL,E,3,162,81,79,83,0,Covered
2006,NL,CHC,C,6,162,81,66,96,0,Covered
2006,NL,CIN,C,3,162,82,80,82,0,Covered
2006,NL,COL,W,4,162,81,76,86,0,Covered
2006,NL,FLA,E,4,162,81,78,84,1,Retractable
2006,NL,HOU,C,2,162,81,82,80,1,Retractable
2006,NL,LAD,W,2,162,81,88,74,0,Covered
2006,NL,MIL,C,4,162,81,75,87,1,Retractable
2006,NL,NYM,E,1,162,81,97,65,0,Covered
2006,NL,PHI,E,2,162,81,85,77,0,Covered
2006,NL,PIT,C,5,162,81,67,95,0,Covered
2006,NL,SDP,W,1,162,81,88,74,0,Covered
2006,NL,SFG,W,3,161,81,76,85,0,Covered
2006,NL,STL,C,1,161,80,83,78,0,Covered
2006,NL,WSN,E,5,162,81,71,91,0,Covered
2007,NL,ARI,W,1,162,81,90,72,1,Retractable
2007,NL,ATL,E,3,162,81,84,78,0,Covered
2007,NL,CHC,C,1,162,81,85,77,0,Covered
2007,NL,CIN,C,5,162,81,72,90,0,Covered
2007,NL,COL,W,2,163,82,90,73,0,Covered
2007,NL,FLA,E,5,162,81,71,91,1,Retractable
2007,NL,HOU,C,4,162,81,73,89,1,Retractable
2007,NL,LAD,W,4,162,81,82,80,0,Covered
2007,NL,MIL,C,2,162,81,83,79,1,Retractable
2007,NL,NYM,E,2,162,81,88,74,0,Covered
2007,NL,PHI,E,1,162,81,89,73,0,Covered
2007,NL,PIT,C,6,162,81,68,94,0,Covered
2007,NL,SDP,W,3,163,81,89,74,0,Covered
2007,NL,SFG,W,5,162,81,71,91,0,Covered
2007,NL,STL,C,3,162,81,78,84,0,Covered
2007,NL,WSN,E,4,162,81,73,89,0,Covered
2008,NL,ARI,W,2,162,81,82,80,1,Retractable
2008,NL,ATL,E,4,162,81,72,90,0,Covered
2008,NL,CHC,C,1,161,81,97,64,0,Covered
2008,NL,CIN,C,5,162,81,74,88,0,Covered
2008,NL,COL,W,3,162,81,74,88,0,Covered
2008,NL,FLA,E,3,161,81,84,77,1,Retractable
2008,NL,HOU,C,3,161,80,86,75,1,Retractable
2008,NL,LAD,W,1,162,81,84,78,0,Covered
2008,NL,MIL,C,2,162,81,90,72,1,Retractable
2008,NL,NYM,E,2,162,81,89,73,0,Covered
2008,NL,PHI,E,1,162,81,92,70,0,Covered
2008,NL,PIT,C,6,162,81,67,95,0,Covered
2008,NL,SDP,W,5,162,81,63,99,0,Covered
2008,NL,SFG,W,4,162,81,72,90,0,Covered
2008,NL,STL,C,4,162,81,86,76,0,Covered
2008,NL,WSN,E,5,161,80,59,102,0,Covered
2009,NL,ARI,W,5,162,81,70,92,1,Retractable
2009,NL,ATL,E,3,162,81,86,76,0,Covered
2009,NL,CHC,C,2,161,80,83,78,0,Covered
2009,NL,CIN,C,4,162,81,78,84,0,Covered
2009,NL,COL,W,2,162,81,92,70,0,Covered
2009,NL,FLA,E,2,162,81,87,75,1,Retractable
2009,NL,HOU,C,5,162,81,74,88,1,Retractable
2009,NL,LAD,W,1,162,81,95,67,0,Covered
2009,NL,MIL,C,3,162,81,80,82,1,Retractable
2009,NL,NYM,E,4,162,81,70,92,0,Covered
2009,NL,PHI,E,1,162,81,93,69,0,Covered
2009,NL,PIT,C,6,161,81,62,99,0,Covered
2009,NL,SDP,W,4,162,81,75,87,0,Covered
2009,NL,SFG,W,3,162,81,88,74,0,Covered
2009,NL,STL,C,1,162,81,91,71,0,Covered
2009,NL,WSN,E,5,162,81,59,103,0,Covered
2010,NL,ARI,W,5,162,81,65,97,1,Retractable
2010,NL,ATL,E,2,162,81,91,71,0,Covered
2010,NL,CHC,C,5,162,81,75,87,0,Covered
2010,NL,CIN,C,1,162,81,91,71,0,Covered
2010,NL,COL,W,3,162,81,83,79,0,Covered
2010,NL,FLA,E,3,162,81,80,82,1,Retractable
2010,NL,HOU,C,4,162,81,76,86,1,Retractable
2010,NL,LAD,W,4,162,81,80,82,0,Covered
2010,NL,MIL,C,3,162,81,77,85,1,Retractable
2010,NL,NYM,E,4,162,81,79,83,0,Covered
2010,NL,PHI,E,1,162,84,97,65,0,Covered
2010,NL,PIT,C,6,162,81,57,105,0,Covered
2010,NL,SDP,W,2,162,81,90,72,0,Covered
2010,NL,SFG,W,1,162,81,92,70,0,Covered
2010,NL,STL,C,2,162,81,86,76,0,Covered
2010,NL,WSN,E,5,162,81,69,93,0,Covered
2011,NL,ARI,W,1,162,81,94,68,1,Retractable
2011,NL,ATL,E,2,162,81,89,73,0,Covered
2011,NL,CHC,C,5,162,81,71,91,0,Covered
2011,NL,CIN,C,3,162,81,79,83,0,Covered
2011,NL,COL,W,4,162,81,73,89,0,Covered
2011,NL,FLA,E,5,162,78,72,90,1,Retractable
2011,NL,HOU,C,6,162,81,56,106,1,Retractable
2011,NL,LAD,W,3,161,81,82,79,0,Covered
2011,NL,MIL,C,1,162,81,96,66,1,Retractable
2011,NL,NYM,E,4,162,81,77,85,0,Covered
2011,NL,PHI,E,1,162,81,102,60,0,Covered
2011,NL,PIT,C,4,162,81,72,90,0,Covered
