Name,Age,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,Team
Pete Alonso,29,162,695,34,3,10.1%,24.7%,0.219,0.276,0.24,0.329,0.459,0.34,122,-4.3,14,-16.9,2.1,Mets
Nick Castellanos,32,162,659,23,6,6.2%,21.1%,0.177,0.294,0.254,0.311,0.431,0.321,105,-3.8,0.1,-18.6,0.4,Phillies
Francisco Lindor,30,152,689,33,29,8.1%,18.4%,0.227,0.295,0.273,0.344,0.5,0.363,137,4,34.8,17.4,7.8,Mets
Brandon Nimmo,31,151,663,23,15,11.6%,23.8%,0.175,0.267,0.224,0.327,0.399,0.321,109,2.4,9.5,-5.1,2.7,Mets
Kyle Schwarber,31,150,692,38,5,15.3%,28.5%,0.237,0.301,0.248,0.366,0.485,0.366,135,-2.4,26.8,-16.7,3.4,Phillies
Bryson Stott,26,148,571,11,32,9.3%,16.3%,0.111,0.275,0.245,0.315,0.356,0.296,88,4.6,-3.5,2.5,1.9,Phillies
Bryce Harper,31,145,631,30,7,12.0%,21.9%,0.24,0.331,0.285,0.373,0.525,0.38,145,-0.5,33.5,-4.3,5.2,Phillies
Harrison Bader,30,143,437,12,17,4.8%,21.7%,0.137,0.276,0.236,0.284,0.373,0.285,85,-1.7,-9.4,7.7,1.3,Mets
Alec Bohm,27,143,606,15,5,6.6%,14.2%,0.168,0.305,0.28,0.332,0.448,0.335,115,-2.6,8.1,5.7,3.5,Phillies
Brandon Marsh,26,135,476,16,19,10.5%,32.4%,0.17,0.348,0.249,0.328,0.419,0.326,108,2.9,7.7,-0.6,2.4,Phillies
Tyrone Taylor,30,130,345,7,11,5.5%,23.2%,0.154,0.309,0.248,0.299,0.401,0.304,98,0.5,-0.5,1,1.2,Mets
Jeff McNeil,32,129,472,12,5,7.4%,14.4%,0.146,0.256,0.238,0.308,0.384,0.304,97,-2,-3.4,0.1,1.3,Mets
Trea Turner,31,121,539,21,19,5.0%,18.2%,0.174,0.331,0.295,0.338,0.469,0.349,124,2.6,18.1,1.8,3.9,Phillies
J.D. Martinez,36,120,495,16,0,9.9%,28.5%,0.171,0.308,0.235,0.32,0.406,0.318,108,-2.3,2.1,-12.6,0.6,Mets
Johan Rojas,23,120,363,3,25,3.6%,19.0%,0.08,0.297,0.243,0.279,0.322,0.265,68,4.8,-9.2,8.4,1.2,Phillies
Mark Vientos,24,111,454,27,0,7.3%,29.7%,0.249,0.324,0.266,0.322,0.516,0.356,133,-2,15.8,-2.9,2.9,Mets
Francisco Alvarez,22,100,342,11,1,8.8%,25.1%,0.166,0.291,0.237,0.307,0.403,0.31,102,-2.1,-1.4,8.9,1.9,Mets
J.T. Realmuto,33,99,413,14,2,6.5%,24.7%,0.163,0.328,0.266,0.322,0.429,0.326,109,-0.5,3.7,2.3,2,Phillies
Starling Marte,35,94,370,7,16,7.3%,21.9%,0.119,0.333,0.269,0.327,0.388,0.313,104,2.1,3.8,-10.1,0.6,Mets
Edmundo Sosa,28,90,274,7,7,4.7%,24.1%,0.165,0.32,0.257,0.313,0.422,0.318,103,1.8,2.9,6.5,1.9,Phillies
Jose Iglesias,34,85,291,4,6,4.1%,13.4%,0.111,0.382,0.337,0.381,0.448,0.362,137,-0.2,12.6,2.3,2.5,Mets
D.J. Stewart,30,74,194,5,1,16.0%,24.7%,0.12,0.217,0.177,0.325,0.297,0.29,88,0,-2.7,-5.5,-0.2,Mets
Jeff Hoffman,31,68,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Phillies
Matt Strahm,32,66,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Phillies
Jose Alvarado,29,66,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Phillies
Orion Kerkering,23,64,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Phillies
Adam Ottavino,38,60,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Mets
Garrett Stubbs,31,56,187,1,5,9.1%,26.7%,0.055,0.289,0.207,0.296,0.262,0.258,63,1.6,-6.8,4,0.4,Phillies
Edwin Diaz,30,55,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Mets
Reed Garrett,31,53,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Mets
Whit Merrifield,35,53,174,3,11,8.6%,10.9%,0.096,0.209,0.199,0.277,0.295,0.259,63,1.8,-5.9,-2.9,-0.3,Phillies
Jose Ruiz,29,52,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Phillies
Brett Baty,24,50,171,4,0,9.4%,24.6%,0.098,0.29,0.229,0.306,0.327,0.282,83,0.1,-3.3,2.3,0.5,Mets
Cristian Pache,25,50,118,0,0,11.0%,36.4%,0.067,0.339,0.202,0.288,0.269,0.255,60,0.2,-5.4,2.7,0.1,Phillies
Luis Torrens,28,48,130,3,0,6.9%,21.5%,0.144,0.273,0.229,0.292,0.373,0.292,90,-1,-2.7,6.1,0.8,Mets
Jesse Winker,30,44,129,3,0,7.8%,17.1%,0.122,0.275,0.243,0.318,0.365,0.303,97,-0.3,-0.7,-3.3,0,Mets
Kody Clemens,28,44,120,5,0,4.2%,24.2%,0.228,0.25,0.219,0.258,0.447,0.301,92,-0.2,-1.4,-1.4,0.1,Phillies
